WKT,full_id,osm_id,osm_type,highway,lanes,maxspeed,name,oneway,old_name,surface,maxspeed_g,official_n,source_max,alt_name,nat_name
"MULTILINESTRING ((121.0106981 14.6260694,121.0103628 14.6257771,121.0100271 14.6254776,121.0097692 14.6252508))",w85241086,"85241086",way,trunk,"5","60",Quezon Avenue,yes,Don Mariano Marcos Avenue,asphalt,"50",,,,
"MULTILINESTRING ((120.9855588 14.604808,120.9854695 14.6047637,120.9854094 14.6047312))",w85396154,"85396154",way,trunk,"3","60",Lerma Avenue,yes,,,,,,,
"MULTILINESTRING ((120.9854094 14.6047312,120.9853351 14.6046628,120.9852875 14.6045714))",w85396156,"85396156",way,trunk,"3","60",Lerma,yes,,,,,,,
"MULTILINESTRING ((120.9857809 14.6047795,120.9869908 14.6050912,120.9873781 14.6051273))",w85396158,"85396158",way,trunk,"2","60",Lerma Avenue,yes,,,,,,,
"MULTILINESTRING ((120.9810786 14.5884683,120.9811771 14.5888295))",w85933512,"85933512",way,trunk,"4","60",Padre Burgos Avenue,yes,,,,,,,
"MULTILINESTRING ((120.9811771 14.5888295,120.981193 14.5889369,120.9812128 14.5891389))",w85933513,"85933513",way,trunk,"4","60",Padre Burgos Avenue,yes,,,,,,,
"MULTILINESTRING ((120.9987755 14.6152338,120.9984868 14.614984,120.998235 14.6147522,120.9979556 14.6144798))",w86123246,"86123246",way,trunk,"4","60",España Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((120.9988491 14.6151212,120.9990161 14.6152567,120.999124 14.6153569))",w86123272,"86123272",way,trunk,"4","60",España Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((120.9992076 14.6154237,120.9992391 14.615467,120.9993207 14.6155417,121.0001188 14.616237,121.0015216 14.6175104,121.0016901 14.617581))",w86123280,"86123280",way,trunk,"4","60",España Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((120.9992419 14.6156279,120.9990606 14.615459))",w86123288,"86123288",way,trunk,"4","60",España Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((121.0577619 14.6571467,121.057309 14.6568516,121.0563125 14.6562458))",w87754105,"87754105",way,trunk,"6","60",Commonwealth Avenue,yes,Don Mariano Marcos Avenue,asphalt,,,,,
"MULTILINESTRING ((120.958181 14.6336943,120.9579713 14.6343164))",w93286334,"93286334",way,trunk,"5","60",Radial Road 10,yes,,asphalt,,,MMDA,President Ferdinand Marcos Avenue,
"MULTILINESTRING ((121.0585798 14.3604292,121.0582753 14.3607176))",w93444116,"93444116",way,trunk,"2","60",National Highway,yes,,paved,,,PH:rural,,Daang Maharlika (LZ)
"MULTILINESTRING ((121.1042133 14.5887227,121.106103 14.5882847))",w95787549,"95787549",way,trunk,"2","60",Ortigas Avenue Extension,yes,,asphalt,,,MMDA,,Manila East Road
"MULTILINESTRING ((121.0955677 14.5898495,121.095183 14.5899069,121.0947343 14.5899588,121.0945401 14.5899764,121.0938839 14.590036))",w95787550,"95787550",way,trunk,"2","60",Ortigas Avenue Extension,yes,,,,,MMDA,,Manila East Road
"MULTILINESTRING ((121.1058049 14.5884422,121.105261 14.5885628,121.1045854 14.5887158,121.1042301 14.5887916,121.1039979 14.5888204))",w95787552,"95787552",way,trunk,"2","60",Ortigas Avenue Extension,yes,,asphalt,,,MMDA,,Manila East Road
"MULTILINESTRING ((121.1039979 14.5888204,121.1036699 14.5889003,121.1035646 14.5889257,121.1035103 14.5889388,121.1032558 14.5890028,121.1031407 14.5890273,121.1029201 14.5890743,121.1027283 14.5891151,121.102468 14.5891712))",w95787553,"95787553",way,trunk,"4","60",Ortigas Avenue Extension,,,asphalt,,,,,Manila East Road
"MULTILINESTRING ((120.994465 14.6113005,120.9941942 14.6110497,120.9939149 14.6107975,120.9936527 14.6105719,120.9933745 14.610315,120.9931928 14.6101512))",w96519725,"96519725",way,trunk,"4","60",España Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((120.9894085 14.6067531,120.9891113 14.6064865,120.9888465 14.6062602,120.9885692 14.6060088,120.988466 14.6059093,120.9883127 14.6057701))",w97047524,"97047524",way,trunk,"4","60",España Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((121.0705728 14.6146745,121.0705834 14.6145822))",w100585756,"100585756",way,trunk,"3",,Katipunan Avenue,yes,,concrete,,,,,
"MULTILINESTRING ((121.0707359 14.6145381,121.0708131 14.6145131,121.070932 14.6144746,121.070973 14.6144605,121.071008 14.6144458,121.0710307 14.6144357,121.071052 14.6144261,121.071121 14.6143907,121.0711665 14.6143716,121.0712078 14.6143558,121.0712423 14.614348,121.0712818 14.6143444,121.0713604 14.614346,121.0714181 14.6143485,121.0714752 14.6143553,121.0715799 14.6143731,121.0724554 14.6145301,121.0725137 14.6145414,121.0725732 14.6145545,121.0726297 14.6145709,121.0726774 14.6145878,121.0727235 14.6146064,121.0727629 14.614623,121.072794 14.6146391,121.0728655 14.6146792,121.072924 14.6147158,121.0729691 14.6147468,121.0730095 14.6147796,121.0730413 14.6148055,121.0730757 14.6148353,121.0731205 14.614881,121.0731641 14.6149308,121.0733063 14.6151077,121.0733662 14.6151819,121.0733873 14.6152036,121.0734157 14.6152303,121.0734557 14.6152632,121.0734967 14.615291,121.0735502 14.6153254,121.0735859 14.6153536,121.0736104 14.6153786,121.0736278 14.6154002,121.0736401 14.6154213))",w100585777,"100585777",way,trunk,"2","60",C-5 Road,yes,Col. Bonny Serrano Avenue,concrete,"50",Pres. Carlos P. Garcia Avenue,,Santolan Road,
"MULTILINESTRING ((121.0790849 14.6061756,121.0790804 14.6061989,121.0790667 14.6062484,121.0790146 14.6064369,121.078958 14.6066264,121.0789462 14.6066634,121.0789033 14.606783,121.0788691 14.6068785,121.0788225 14.6069945,121.0787565 14.6071407,121.0786826 14.6072988))",w104949234,"104949234",way,trunk,"4","60",E. Rodriguez Jr. Avenue,yes,,asphalt,"50",,,,
"MULTILINESTRING ((121.079108 14.6060875,121.0790849 14.6061756))",w104949236,"104949236",way,trunk,"4","60",E. Rodriguez Jr. Avenue,yes,,asphalt,"50",,,,
"MULTILINESTRING ((121.0789071 14.6062155,121.0789257 14.6061202))",w104949241,"104949241",way,trunk,"4","60",E. Rodriguez Jr. Avenue,yes,,concrete,"50",,,,
"MULTILINESTRING ((121.0790082 14.6055307,121.0790138 14.6054715,121.0791295 14.6035164,121.0791441 14.6032529,121.0791488 14.6031672,121.0791766 14.6027074,121.0792013 14.6022373,121.0792144 14.6019868,121.0792162 14.6019523,121.0792196 14.6018285))",w104949284,"104949284",way,trunk,"4","60",E. Rodriguez Jr. Avenue,yes,,concrete,"50",,,,
